month,mean,median,count,std
1,0.23323641241196236,0.038677463,4464,0.3013956531554453
2,0.19986886332911705,0.02443108949999995,4032,0.27832228365641376
3,0.19086564345922938,0.007642560499999999,4464,0.2737541602717768
4,0.16580634335331773,0.000128205,6405,0.25491069424261265
5,0.15440449220489844,0.0,6696,0.24530717092633897
6,0.1109557162802469,0.0,6480,0.19823186223005582
7,0.13759929964562345,0.0,4467,0.23100061286935272
8,0.1665541691124552,0.0,4464,0.26106790539845603
9,0.20428358939953703,0.0022115385,4320,0.2946084278382731
10,0.23956629321012546,0.023252564,4464,0.31733295137873685
11,0.2264922408798611,0.038596254999999996,4320,0.2989182023584042
12,0.2346883009563172,0.045706815,4464,0.3021304864482742
