ZONEID,TIMESTAMP,POWER
1,20130401 01:00,0.0
1,20130401 02:00,0.0
1,20130401 03:00,0.0034801989567432713
1,20130401 04:00,0.004178822426481433
1,20130401 05:00,0.004276199953185425
1,20130401 06:00,0.00428943887211536
1,20130401 07:00,0.0042912509766333444
1,20130401 08:00,0.0042912663707251235
1,20130401 09:00,0.004319410069231077
1,20130401 10:00,0.004307133281037329
1,20130401 11:00,0.007116647395254336
1,20130401 12:00,0.0065439629903601216
1,20130401 13:00,0.004501797069472624
1,20130401 14:00,0.0026212724109985126
1,20130401 15:00,0.005016176351753901
1,20130401 16:00,0.004944338722889243
1,20130401 17:00,0.0
1,20130401 18:00,0.0
1,20130401 19:00,0.0
1,20130401 20:00,0.0035724925846372514
1,20130401 21:00,0.0032832397992659298
1,20130401 22:00,0.0013328721463905244
1,20130401 23:00,0.0
1,20130402 00:00,0.0
1,20130402 01:00,0.0
1,20130402 02:00,0.0
1,20130402 03:00,0.0
1,20130402 04:00,0.0
1,20130402 05:00,0.0
1,20130402 06:00,0.0
1,20130402 07:00,0.0
1,20130402 08:00,0.0
1,20130402 09:00,0.0
1,20130402 10:00,0.0
1,20130402 11:00,0.0
1,20130402 12:00,0.0
1,20130402 13:00,0.0
1,20130402 14:00,0.0
1,20130402 15:00,0.0
1,20130402 16:00,0.0
1,20130402 17:00,0.0
1,20130402 18:00,0.0
1,20130402 19:00,0.0
1,20130402 20:00,0.0
1,20130402 21:00,0.0
1,20130402 22:00,0.0
1,20130402 23:00,0.0
1,20130403 00:00,0.0
1,20130403 01:00,0.0
1,20130403 02:00,0.0
1,20130403 03:00,0.0
1,20130403 04:00,0.0
1,20130403 05:00,0.0
1,20130403 06:00,0.0
1,20130403 07:00,0.0
1,20130403 08:00,0.0
1,20130403 09:00,0.0
1,20130403 10:00,0.0
1,20130403 11:00,0.0
1,20130403 12:00,0.0
1,20130403 13:00,0.0
1,20130403 14:00,0.0
1,20130403 15:00,0.0
1,20130403 16:00,0.0
1,20130403 17:00,0.0
1,20130403 18:00,0.0
1,20130403 19:00,0.0
1,20130403 20:00,0.0
1,20130403 21:00,0.0
1,20130403 22:00,0.0
1,20130403 23:00,0.0
1,20130404 00:00,0.0
1,20130404 01:00,0.0
1,20130404 02:00,0.0
1,20130404 03:00,0.0
1,20130404 04:00,0.0
1,20130404 05:00,0.0
1,20130404 06:00,0.0
1,20130404 07:00,0.0
1,20130404 08:00,0.0
1,20130404 09:00,0.0
1,20130404 10:00,0.0
1,20130404 11:00,0.0
1,20130404 12:00,0.0
1,20130404 13:00,0.0
1,20130404 14:00,0.0
1,20130404 15:00,0.0
1,20130404 16:00,0.0
1,20130404 17:00,0.0
1,20130404 18:00,0.0
1,20130404 19:00,0.0
1,20130404 20:00,0.0
1,20130404 21:00,0.0
1,20130404 22:00,0.0
1,20130404 23:00,0.0
1,20130405 00:00,0.0
1,20130405 01:00,0.0
1,20130405 02:00,0.0
1,20130405 03:00,0.0
1,20130405 04:00,0.0
1,20130405 05:00,0.0
1,20130405 06:00,0.0
1,20130405 07:00,0.0
1,20130405 08:00,0.0
1,20130405 09:00,0.0
1,20130405 10:00,0.0
1,20130405 11:00,0.0
1,20130405 12:00,0.0
1,20130405 13:00,0.0
1,20130405 14:00,0.0
1,20130405 15:00,0.0
1,20130405 16:00,0.0
